0.072,0.028,0.025
0.206,0.112,0.112
0.397,0.281,0.289
0.467,0.289,0.265
3.394,3.363,3.176
3.578,3.257,3.262
0.293,0.229,0.236
0.185,0.121,0.122
3.215,3.109,3.154
3.935,3.935,3.828
0.765,0.558,0.544
0.913,0.711,0.685
3.353,3.336,3.406
null,null,null
null,null,null
3.088,5.722,3.023
null,null,null
null,null,null
null,null,null
0.216,0.090,0.076
8.020,7.603,7.860
7.297,7.587,7.891
14.886,14.702,14.436
2.563,2.293,2.442
0.680,0.586,0.608
2.173,1.947,1.767
0.719,0.596,0.562
6.925,6.517,6.483
null,null,null
0.369,0.232,0.223
3.859,3.767,4.015
null,null,null
null,null,null
null,null,null
null,null,null
3.287,3.158,3.036
0.260,0.180,0.180
0.223,0.125,0.123
0.174,0.091,0.093
0.395,0.293,0.288
0.099,0.044,0.044
0.095,0.051,0.043
0.095,0.048,0.047
