19,3,Code: 241. DB::Exception: (total) memory limit exceeded: would use 1.73 GiB (attempt to allocate chunk of 5.48 MiB), current RSS: 1.72 GiB, maximum: 1.73 GiB: While executing AggregatingTransform. (MEMORY_LIMIT_EXCEEDED)
20,1,0.368
20,2,0.311
20,3,0.260
21,1,4.897
21,2,4.869
21,3,4.951
22,1,10.884
22,2,11.368
22,3,11.208
23,1,19.885
23,2,19.388
23,3,19.219
24,1,20.774
24,2,19.280
24,3,19.706
25,1,2.415
25,2,2.951
25,3,2.412
26,1,1.200
26,2,1.179
26,3,1.150
27,1,2.423
27,2,2.683
27,3,2.362
28,1,9.162
28,2,9.336
28,3,9.460
29,1,0.004
29,2,0.006
29,3,0.004
30,1,0.311
30,2,0.229
30,3,0.246
31,1,4.146
31,2,4.951
31,3,4.579
32,1,11.540
32,2,8.511
32,3,9.892
33,1,0.004
33,2,0.005
33,3,0.004
34,1,0.005
34,2,0.006
34,3,0.006
35,1,0.004
35,2,0.005
35,3,0.021
36,1,1.685
36,2,1.870
36,3,1.699
37,1,0.325
37,2,0.272
37,3,0.249
38,1,0.208
38,2,0.156
38,3,0.164
39,1,0.129
39,2,0.103
39,3,0.096
40,1,0.392
40,2,0.360
40,3,0.359
41,1,0.108
41,2,0.072
41,3,0.068
42,1,0.089
42,2,0.066
42,3,0.064
43,1,0.073
43,2,0.054
43,3,0.058
